600010.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600104.SH,600111.SH,600196.SH,600276.SH,600309.SH,600436.SH,600438.SH,600519.SH,600570.SH,600585.SH,600588.SH,600690.SH,600809.SH,600837.SH,600887.SH,600893.SH,600900.SH,601012.SH,601088.SH,601166.SH,601288.SH,601318.SH,601398.SH,601601.SH,601628.SH,601633.SH,601668.SH,601688.SH,601857.SH,601888.SH,601899.SH,601919.SH
300,1000,-900,-1000,1000,0,1000,-1000,1000,1000,0,0,100,0,0,0,0,0,0,100,0,1000,0,0,0,-1000,-1000,0,0,0,-600,0,-1000,0,0,0,-1000,1000
1000,-1000,800,0,-1000,0,-1000,0,0,-1000,0,0,-1000,0,0,0,0,0,0,0,0,-1000,0,1000,-1000,-1000,0,0,-1000,0,-400,0,0,0,-200,1000,0,-300
-1000,-1000,-1000,0,0,1000,1000,0,-700,0,0,300,-1000,0,0,0,-1000,-1000,0,1000,0,1000,1000,-1000,-1000,0,100,1000,0,0,0,0,0,0,0,0,-1000,1000
-1000,-1000,1000,0,-1000,1000,1000,-1000,1000,1000,0,-300,-1000,0,0,0,0,1000,0,-1000,1000,100,-1000,0,1000,-1000,1000,-100,1000,0,0,0,0,0,-800,100,1000,1000
-900,0,-1000,1000,1000,-1000,-1000,-900,-1000,-1000,0,900,600,0,0,0,0,0,0,-100,0,0,0,0,-1000,-700,1000,0,100,0,0,0,0,0,0,-1000,0,1000
-1000,0,-600,-1000,1000,1000,-1000,-600,-1000,0,0,-700,-1000,0,0,0,1000,-400,0,0,1000,-1000,0,0,1000,-300,1000,-900,1000,0,0,1000,1000,1000,0,-100,1000,1000
1000,1000,0,0,-700,1000,0,0,1000,0,200,-200,-1000,0,0,0,1000,-1000,0,1000,-1000,1000,1000,0,1000,200,-1000,1000,-1000,0,1000,1000,-1000,-1000,0,1000,500,-900
-1000,-600,0,0,1000,-1000,0,0,-1000,1000,800,0,0,0,0,0,1000,1000,0,1000,-1000,1000,-700,0,1000,-200,1000,-200,-1000,1000,1000,-1000,1000,1000,1000,-1000,-100,-1000
100,1000,0,0,-1000,-1000,0,0,1000,1000,-1000,0,0,0,0,100,-1000,-1000,1000,-1000,0,-1000,-300,0,0,1000,0,-800,0,-1000,0,-1000,-1000,0,-400,0,100,-1000
1000,-900,0,0,-1000,-1000,0,0,1000,1000,0,1000,-400,0,0,-100,-900,-600,-1000,-1000,0,-1000,0,1000,800,0,100,0,1000,0,-1000,0,0,-1000,0,0,-1000,-1000
-1000,-500,0,0,-300,0,0,0,0,-1000,1000,-1000,-1000,0,1000,1000,0,0,1000,0,0,0,0,0,1000,0,-1000,0,-1000,0,-1000,0,0,0,-600,0,700,-1000
-1000,100,1000,0,1000,1000,0,0,-1000,-1000,-1000,0,-1000,0,-1000,-1000,1000,0,-300,1000,0,1000,400,-1000,1000,1000,-1000,1000,1000,0,0,0,0,0,0,1000,1000,-1000
800,1000,1000,1000,-1000,-1000,0,0,-1000,-1000,0,300,-1000,0,0,0,-1000,0,1000,-1000,0,-1000,600,0,0,0,-200,1000,-1000,0,0,0,0,0,0,-1000,-1000,-1000
-1000,-1000,-1000,0,0,0,0,0,0,0,0,0,-1000,0,0,0,-1000,0,600,100,0,-100,-1000,0,0,0,0,-1000,-300,0,0,0,0,0,0,0,0,0
-1000,-100,-1000,-1000,0,0,0,0,-1000,0,0,0,600,0,0,0,-100,0,500,-100,0,0,0,0,-1000,-900,200,0,0,0,0,0,0,0,0,0,100,-1000
1000,1000,0,1000,0,0,0,0,-300,0,0,700,1000,0,0,0,0,1000,-1000,0,0,0,0,0,-700,-1000,-1000,200,1000,0,0,1000,0,0,0,0,-1000,-1000
-300,1000,0,-1000,1000,0,0,0,0,0,0,-1000,-1000,0,0,500,300,500,-1000,1000,0,1000,0,1000,1000,1000,900,-1000,1000,0,0,1000,0,1000,0,0,1000,1000
1000,-1000,1000,1000,-1000,1000,1000,1000,1000,1000,1000,0,1000,100,0,-500,-300,1000,-800,1000,1000,0,0,-100,0,600,1000,-200,1000,0,1000,1000,0,-1000,0,0,1000,1000
1000,-1000,-1000,1000,0,0,-1000,-1000,1000,-1000,-1000,0,-1000,0,0,1000,0,-1000,200,1000,-600,1000,1000,1000,-1000,-900,-1000,1000,-1000,0,-1000,800,0,0,0,0,-1000,1000
-200,100,0,1000,1000,-1000,0,0,-1000,0,0,900,-1000,-100,0,0,0,0,0,-1000,-400,0,-1000,0,1000,-800,-1000,0,-1000,0,0,-1000,0,0,0,0,100,1000
400,-100,0,0,-1000,1000,1000,1000,-1000,0,0,300,200,0,0,-1000,100,-1000,0,-1000,0,0,0,1000,-1000,0,-1000,-1000,0,0,0,0,0,0,0,0,0,1000
100,0,0,-1000,0,1000,-1000,-1000,1000,0,0,-1000,0,0,0,0,700,-500,1000,-700,0,-1000,0,-1000,-200,0,-1000,0,-1000,0,0,-1000,0,0,1000,1000,-1000,-1000
500,1000,0,-1000,0,1000,0,0,1000,0,0,900,-1000,0,0,0,1000,300,-1000,-300,0,0,0,0,-1000,1000,-600,0,-800,0,0,-1000,0,0,0,0,-1000,1000
1000,-1000,0,-1000,0,-600,1000,0,-1000,400,0,-500,1000,0,0,0,900,-300,-200,0,0,1000,0,-1000,-1000,-1000,-1000,1000,1000,1000,1000,-800,1000,0,-1000,500,1000,1000
-1000,0,1000,1000,0,0,1000,1000,1000,1000,0,-600,1000,0,0,0,1000,1000,0,1000,0,1000,0,-900,-1000,0,100,1000,-1000,1000,1000,900,200,0,0,0,-1000,-1000
-1000,0,0,-1000,0,0,-1000,-1000,0,0,0,0,-1000,0,0,0,-1000,0,900,-1000,200,-400,0,0,-1000,0,-1000,0,0,-1000,-1000,-900,-1000,0,0,0,1000,0
1000,0,0,0,900,1000,1000,1000,-1000,-1000,0,1000,-1000,0,0,0,-1000,-1000,-900,1000,1000,-1000,0,0,1000,1000,-700,-1000,0,-1000,0,0,-200,0,0,0,1000,-1000
-1000,0,-1000,0,1000,0,-1000,-1000,-1000,0,100,500,0,0,0,0,1000,0,0,100,-800,0,0,0,-1000,0,0,-1000,0,0,0,0,0,0,0,0,-1000,1000
-1000,0,0,0,-1000,-1000,0,1000,0,1000,-100,-1000,300,0,0,0,1000,1000,0,1000,-400,1000,0,1000,0,-1000,1000,1000,1000,0,-1000,0,1000,0,200,-1000,-1000,1000
1000,200,1000,0,1000,1000,1000,-1000,0,1000,0,-500,1000,0,0,1000,-1000,1000,900,-1000,0,1000,1000,-1000,1000,0,-1000,300,-1000,0,0,0,-1000,200,-200,0,1000,1000
-1000,-200,-1000,0,-1000,-1000,-1000,1000,0,-1000,1000,0,-1000,0,0,1000,-1000,-1000,400,-1000,1000,-1000,-1000,0,-1000,0,1000,-1000,0,0,0,300,0,0,0,100,1000,1000
-1000,0,1000,0,0,1000,1000,0,0,-1000,-1000,0,-300,0,0,1000,-1000,-1000,300,-100,-1000,1000,0,1000,0,1000,1000,-300,1000,0,500,0,0,-200,0,-600,-300,1000
-1000,0,0,0,0,0,-1000,0,0,-200,0,0,0,0,0,0,-700,0,600,0,0,-1000,0,-900,0,0,100,0,0,800,0,-300,0,0,0,0,-1000,-1000
-1000,0,-1000,0,0,0,0,-1000,0,-200,0,0,0,0,0,-1000,800,0,600,0,0,-1000,0,0,0,0,1000,0,-1000,-800,0,0,100,0,0,0,100,-1000
500,1000,0,0,-900,1000,-1000,0,0,0,0,500,-1000,0,0,-600,-700,0,0,1000,0,-1000,600,0,0,-1000,1000,0,0,0,-500,0,-100,0,0,0,-1000,1000
1000,1000,1000,0,0,1000,0,0,0,0,0,100,1000,0,0,-1000,1000,0,-1000,-1000,0,-600,-600,1000,0,1000,-900,600,1000,0,300,0,1000,0,0,200,-500,1000
100,-800,1000,0,0,1000,0,0,1000,0,0,600,0,0,0,-400,-1000,0,-1000,0,0,0,0,1000,0,-100,0,0,0,0,-300,0,-1000,1000,1000,-200,0,1000
1000,-500,-1000,0,0,1000,0,1000,-200,0,0,1000,-1000,0,0,0,-100,0,-800,1000,0,0,0,-1000,0,800,0,-600,-1000,0,1000,0,100,-1000,0,0,1000,-1000
600,1000,1000,0,0,1000,1000,1000,-800,0,0,-1000,0,0,0,0,1000,200,0,-1000,1000,1000,0,-200,1000,1000,1000,0,0,0,-100,1000,1000,1000,-1000,0,1000,-1000
-1000,-1000,0,0,0,1000,-1000,-800,0,0,1000,0,0,0,0,0,-1000,1000,0,1000,200,0,0,-900,-1000,-1000,-1000,0,1000,0,-900,-1000,1000,-1000,1000,1000,1000,0
1000,-700,-1000,0,1000,1000,0,1000,1000,0,-1000,-1000,1000,0,0,0,0,-1000,0,-1000,-1000,-1000,0,1000,0,-1000,1000,0,-1000,0,0,1000,1000,1000,-1000,-1000,1000,-1000
100,1000,-300,0,-1000,1000,1000,1000,1000,1000,0,1000,1000,0,1000,0,600,-200,0,100,-200,0,1000,-1000,0,-700,-1000,0,0,0,0,0,-1000,-500,0,0,-1000,1000
-1000,-1000,-100,0,0,-1000,1000,-100,-1000,-1000,0,-1000,-1000,0,-1000,1000,1000,1000,0,-100,1000,0,1000,0,0,0,300,500,0,0,0,1000,400,-500,1000,0,1000,-1000
0,0,-600,0,0,0,0,0,-1000,0,0,-200,-1000,300,1000,-1000,-1000,-1000,0,0,-1000,0,0,0,0,0,-1000,0,0,0,0,0,-1000,0,900,0,-1000,-1000
100,700,0,0,0,0,0,-1000,0,0,0,0,0,0,-1000,0,-600,0,600,0,0,0,-1000,0,0,0,0,100,0,0,0,-1000,0,0,-1000,0,-1000,-800
-1000,-700,1000,1000,0,-1000,0,-100,0,0,1000,0,1000,-300,0,0,1000,0,1000,0,1000,0,100,300,1000,0,-1000,1000,0,0,0,-1000,0,1000,-900,0,1000,-1000
100,0,-1000,1000,1000,-1000,-1000,-1000,0,0,-200,300,500,0,0,0,-1000,0,-400,400,-1000,0,-1000,0,-1000,0,200,-1000,0,0,0,0,0,1000,0,1000,-1000,1000
1000,1000,0,1000,-1000,1000,1000,-700,0,0,1000,600,-1000,0,0,800,0,0,0,0,0,0,1000,-300,0,0,-1000,-600,0,0,0,0,1000,-1000,0,-1000,-1000,-1000
-1000,-1000,1000,-1000,0,1000,1000,-300,0,0,300,-300,-1000,0,0,-500,0,1000,-1000,1000,0,0,-1000,0,0,0,1000,0,1000,0,0,1000,-1000,-1000,0,0,1000,1000
0,500,-1000,0,0,-1000,0,1000,0,0,0,1000,0,0,200,-100,0,0,-200,-1000,0,0,0,0,0,0,0,0,-1000,0,0,-400,-1000,0,0,700,-200,-1000
200,-500,0,1000,0,-800,-1000,-1000,1000,0,-1000,100,-600,0,0,0,100,-1000,1000,100,0,0,0,0,0,0,-1000,0,1000,0,0,-600,0,0,0,-700,0,-1000
1000,0,0,-1000,1000,-1000,-1000,0,1000,0,-1000,-1000,1000,0,100,-200,1000,1000,0,1000,1000,0,1000,1000,0,1000,1000,1000,-1000,0,0,600,1000,0,0,0,0,-1000
1000,0,0,1000,-500,-1000,1000,0,0,0,-100,-700,1000,200,-300,1000,1000,1000,-1000,1000,-1000,0,0,1000,0,-700,1000,100,0,0,0,0,1000,0,0,100,1000,1000
1000,0,0,-1000,-500,-1000,1000,0,-1000,0,0,0,1000,0,0,0,-1000,-1000,0,-1000,0,0,-1000,1000,1000,-300,100,0,1000,1000,400,-600,-1000,0,100,-100,1000,1000
1000,1000,0,-1000,1000,0,1000,0,-1000,0,0,0,-1000,-200,0,-1000,-1000,1000,1000,1000,1000,0,1000,1000,-1000,0,1000,1000,-1000,-1000,-400,1000,-1000,0,1000,0,1000,1000
-1000,800,0,1000,-1000,-600,1000,0,0,0,1000,0,600,0,0,0,-100,-1000,-1000,-300,1000,0,1000,-1000,0,0,-1000,-1000,0,0,400,-900,1000,0,-1000,0,0,-1000
-900,100,0,1000,0,1000,0,0,0,0,1000,1000,0,0,0,0,0,0,0,-1000,-1000,0,0,-1000,0,0,-1000,-1000,0,0,0,0,-900,0,0,0,100,-1000
-1000,1000,0,1000,1000,-1000,-1000,0,0,1000,-1000,-1000,-1000,0,0,1000,0,-1000,1000,1000,-1000,1000,1000,-1000,0,0,1000,-100,1000,1000,-400,1000,-600,0,-100,0,1000,-1000
-1000,0,0,-1000,0,0,0,0,0,0,1000,0,1000,200,0,-1000,0,0,-1000,0,0,0,0,-1000,1000,0,100,0,-1000,0,0,-1000,0,0,0,0,100,-1000
-1000,-1000,1000,-1000,-1000,-1000,1000,0,1000,-1000,-1000,500,-1000,-200,0,1000,1000,1000,0,-1000,0,300,-1000,1000,200,1000,1000,1000,0,-1000,0,-100,1000,0,0,0,-1000,1000
-1000,-1000,-1000,-500,0,-1000,1000,0,700,1000,-1000,-500,1000,0,0,-1000,-1000,1000,0,1000,0,-1000,1000,-1000,-1000,-1000,-800,-1000,0,0,0,0,1000,0,0,0,1000,1000
1000,-900,0,-1000,0,1000,-1000,0,700,-1000,0,0,1000,0,0,0,1000,-1000,0,400,1000,900,-1000,0,-200,0,-1000,1000,1000,0,0,0,-1000,0,0,1000,-1000,-1000
1000,0,0,-500,0,0,-1000,0,-1000,0,0,1000,0,0,0,1000,-1000,0,0,1000,-1000,1000,200,0,0,0,1000,-1000,-1000,0,0,0,-1000,0,0,0,1000,-1000
-1000,0,0,0,0,0,0,0,400,0,1000,0,-1000,0,0,-1000,0,-1000,1000,-1000,0,-1000,-1000,0,0,0,1000,0,0,0,0,0,1000,0,1000,-1000,-1000,-1000
-1000,0,1000,0,0,-1000,1000,1000,-1000,0,-1000,-1000,1000,0,0,0,0,1000,-1000,100,0,1000,-1000,0,0,0,1000,1000,1000,400,0,0,1000,0,1000,0,1000,-1000
1000,200,1000,0,0,0,-1000,1000,-800,1000,1000,0,-1000,0,0,0,0,1000,400,1000,1000,-1000,-300,0,0,1000,-1000,1000,-1000,1000,0,1000,1000,0,-1000,1000,0,1000
1000,1000,-1000,1000,1000,-1000,-200,-200,0,-900,0,0,1000,0,0,0,0,-1000,600,-100,-1000,-1000,0,1000,1000,-1000,200,200,0,-1000,0,1000,-600,500,1000,-1000,1000,-1000
0,1000,-300,1000,1000,1000,-1000,0,0,-100,-1000,0,1000,0,0,1000,0,1000,0,0,0,-200,0,100,-1000,1000,600,-900,0,-400,0,-1000,-1000,0,0,0,1000,1000
300,-1000,200,-100,-1000,0,-1000,-1000,0,0,0,0,-1000,0,0,0,0,-1000,800,0,0,0,0,0,0,1000,-1000,-1000,0,0,0,0,-1000,-500,0,0,0,-1000
1000,-1000,-900,-1000,-1000,-1000,1000,-800,0,0,700,0,1000,0,0,-1000,1000,1000,-1000,1000,0,0,0,1000,1000,-1000,-1000,1000,1000,0,800,1000,1000,0,-1000,0,1000,-1000
-900,0,0,1000,0,1000,-1000,0,0,0,-700,0,1000,0,0,0,-1000,-1000,600,1000,0,0,1000,-1000,-1000,-300,1000,-1000,-1000,0,0,500,-1000,0,400,0,1000,1000
1000,0,0,0,1000,1000,-1000,1000,1000,0,0,200,0,0,0,0,0,-1000,-1000,1000,0,1000,1000,1000,0,1000,800,0,0,0,0,-1000,0,0,0,0,1000,-1000
0,-200,0,-1000,-1000,1000,-800,-1000,-100,1000,0,800,100,0,0,0,0,0,-400,-1000,0,-1000,-1000,0,0,1000,-1000,0,0,0,-800,-500,-400,0,0,0,100,1000
-1000,0,0,0,0,-1000,0,0,0,-1000,0,400,0,0,0,0,0,0,0,400,0,0,0,-1000,0,0,100,-300,0,0,1000,-1000,0,0,-1000,0,-1000,1000
1000,0,1000,1000,0,-1000,0,1000,1000,600,0,-1000,1000,0,1000,0,0,0,0,600,1000,0,1000,-1000,0,-1000,-1000,0,0,0,1000,0,1000,1000,-400,0,-1000,-100
-1000,0,-1000,100,300,1000,1000,1000,0,-600,0,0,1000,0,-1000,1000,0,0,0,1000,-1000,0,1000,-100,0,-1000,1000,1000,0,1000,-1000,0,-1000,-1000,0,0,1000,-1000
0,0,1000,-1000,-300,1000,-1000,-1000,-1000,0,0,400,100,0,0,-1000,200,0,0,-900,0,0,-1000,0,0,-700,-1000,1000,0,-1000,0,0,0,0,0,0,200,1000
900,0,-600,-1000,1000,1000,0,1000,-800,0,0,-300,1000,0,0,0,1000,0,0,-1000,300,0,-1000,0,1000,0,0,-100,0,0,-1000,0,0,0,0,0,1000,1000
1000,0,-400,0,-1000,-1000,1000,1000,-100,0,900,0,0,0,0,0,-1000,0,0,-1000,-300,0,0,0,-1000,1000,100,0,0,0,0,0,0,0,0,0,200,-1000
300,0,0,0,0,0,-1000,0,0,0,-900,0,0,0,0,0,-200,0,600,0,0,0,-1000,0,0,300,0,-1000,0,0,0,0,0,0,0,0,0,-1000
400,0,0,0,0,0,0,-1000,0,0,0,-500,-1000,0,0,0,0,100,900,-1000,0,0,0,0,0,0,-800,100,0,0,0,0,0,0,0,0,0,-1000
100,0,0,100,0,-1000,0,0,0,0,0,0,-1000,0,0,0,0,0,400,-1000,0,0,0,0,700,0,-1000,-1000,0,0,0,0,0,0,0,0,0,-1000
-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-1000,0,0,0,0,900,-1000,0,0,0,0,0,0,0,0,200,0,-1000,1000
1000,0,0,400,0,1000,1000,-1000,0,0,0,400,1000,0,0,0,0,1000,-1000,1000,0,0,0,0,1000,-300,1000,1000,0,0,0,0,0,0,-200,0,1000,-1000
1000,500,0,1000,0,-400,-800,1000,1000,0,1000,-400,1000,0,0,0,0,1000,-800,-1000,0,0,0,0,200,1000,1000,-1000,1000,0,0,0,1000,0,1000,0,-1000,1000
300,-500,0,-800,0,0,0,0,-1000,0,-1000,0,0,0,0,0,0,-1000,1000,0,0,0,0,0,1000,0,0,0,-1000,0,0,0,0,0,-1000,0,0,-1000
1000,0,0,1000,1000,0,-200,-1000,1000,0,0,0,-1000,0,0,1000,1000,1000,-1000,-1000,1000,0,0,0,1000,-1000,-1000,0,1000,600,0,0,300,0,0,600,-1000,1000
0,0,0,-1000,-1000,-1000,0,1000,-1000,0,0,300,0,0,0,-1000,-1000,0,0,-700,0,0,0,0,0,0,100,1000,-1000,0,0,0,0,0,0,0,0,1000
500,0,0,-700,200,1000,0,1000,0,0,1000,-300,-1000,0,0,1000,1000,-1000,600,0,-1000,0,0,0,-1000,1000,1000,-1000,0,1000,0,0,1000,0,0,-600,-1000,1000
1000,0,0,0,-200,-1000,0,-1000,0,0,-1000,1000,0,0,0,-1000,-1000,1000,-700,0,0,0,0,0,-1000,-1000,1000,0,0,-1000,1000,0,1000,700,0,0,-900,1000
300,0,0,0,1000,-600,1000,-1000,0,0,0,300,100,0,0,100,0,-1000,0,0,0,0,0,1000,-1000,0,-1000,0,0,-600,-1000,0,-1000,-700,0,0,100,1000
-1000,0,0,0,-1000,-1000,0,-1000,0,0,0,400,-1000,0,0,-100,0,200,0,0,0,0,1000,0,0,0,-1000,0,0,0,0,0,1000,0,0,0,100,-1000
1000,0,0,1000,0,-1000,-700,0,0,0,0,-1000,0,0,1000,0,0,1000,0,0,0,1000,1000,100,-1000,0,-1000,0,1000,1000,0,0,-1000,1000,1000,700,-1000,1000
-1000,100,0,0,0,0,200,1000,0,0,0,-700,-1000,100,1000,0,0,1000,0,1000,1000,600,-1000,-1000,0,0,1000,0,-1000,-1000,0,0,0,0,-1000,0,-1000,1000
1000,600,1000,1000,0,-1000,-500,-600,1000,1000,0,0,-1000,-100,1000,0,0,-300,0,1000,-1000,-1000,-1000,-100,0,1000,-1000,0,1000,0,0,400,-1000,-1000,0,1000,1000,1000
1000,-700,0,-1000,0,0,1000,1000,1000,1000,0,0,0,0,1000,0,0,-1000,0,-1000,0,1000,0,0,-800,500,-1000,1000,0,0,0,0,0,0,0,-1000,1000,-1000
-1000,0,-1000,-1000,1000,0,1000,-1000,1000,1000,0,0,1000,0,-1000,0,0,-1000,0,-400,1000,-1000,0,1000,0,0,-200,1000,200,0,100,-400,-1000,1000,400,-700,-1000,100
-1000,0,0,100,-1000,0,0,-400,-1000,0,0,0,500,0,-900,0,0,0,1000,-600,-100,-600,0,-1000,0,1000,0,-1000,-1000,0,-100,0,-300,-1000,-400,0,1000,-1000
1000,0,0,1000,0,1000,1000,0,1000,400,1000,0,-1000,0,-1000,1000,1000,1000,-1000,1000,-900,0,0,0,1000,-1000,1000,-1000,-200,1000,0,0,0,700,0,0,-1000,-1000
-1000,0,0,-1000,0,1000,100,1000,-1000,1000,-1000,0,1000,100,-1000,1000,400,-1000,0,1000,0,0,0,0,-1000,-1000,0,0,0,-1000,1000,0,1000,0,0,0,-1000,0
-1000,0,1000,1000,0,0,-1000,1000,1000,-1000,0,0,-1000,0,0,-1000,0,0,0,0,1000,0,0,0,0,0,100,0,0,0,0,0,-1000,0,0,0,-1000,1000
1000,1000,1000,1000,1000,-1000,1000,1000,-1000,1000,0,0,1000,-100,-100,0,-1000,-900,500,-1000,-1000,0,0,0,0,0,1000,0,900,0,-900,0,0,-700,0,0,0,1000
-300,-1000,-1000,1000,-1000,-1000,-800,-1000,-300,1000,0,0,-1000,0,0,1000,-400,0,-500,1000,0,1000,1000,1000,0,-500,1000,0,-900,0,-100,1000,0,0,0,0,1000,-1000
-1000,0,-600,-1000,0,1000,600,-1000,1000,-300,0,0,0,0,0,1000,0,0,0,1000,1000,1000,1000,-1000,0,0,-1000,0,0,0,0,0,0,0,100,0,-1000,1000
1000,1000,-400,-1000,0,-1000,-1000,0,-1000,-1000,0,300,-1000,0,0,1000,0,1000,0,1000,-1000,500,1000,0,0,1000,-1000,200,1000,0,0,-500,0,1000,-100,0,1000,-1000
1000,-1000,0,-1000,0,0,-1000,1000,0,-1000,1000,-300,-1000,0,0,-1000,1000,-1000,400,-1000,0,-1000,1000,1000,0,-1000,1000,-200,1000,600,0,-500,1000,-1000,1000,0,1000,1000
1000,0,1000,1000,0,0,-900,-1000,-700,-1000,-100,0,-1000,100,0,-1000,-1000,1000,-400,1000,0,1000,-1000,-1000,100,1000,1000,0,-1000,1000,0,0,1000,0,-1000,0,1000,-1000
-1000,0,-1000,-1000,0,0,0,0,-1000,-1000,-900,1000,1000,-100,0,-1000,0,-1000,0,1000,0,-1000,500,0,-100,-1000,1000,1000,-1000,-1000,1000,0,-1000,100,1000,700,1000,1000
1000,1000,1000,1000,0,0,0,-1000,1000,1000,0,0,400,0,0,100,0,1000,0,-1000,1000,-1000,-1000,1000,0,1000,1000,-1000,1000,-600,1000,0,1000,-100,-1000,-700,1000,-1000
0,-700,-1000,-1000,1000,0,0,1000,1000,1000,0,0,0,0,400,0,0,-1000,0,-1000,0,-500,0,-1000,0,1000,0,0,-1000,0,-1000,0,-100,0,0,0,0,1000
-1000,-300,1000,1000,1000,0,0,1000,-1000,-1000,0,-1000,-1000,0,-400,1000,0,0,0,-1000,-1000,0,-1000,0,0,-300,1000,0,1000,400,-100,0,1000,0,800,0,-1000,-1000
1000,0,-1000,-1000,0,0,0,-1000,700,-1000,0,0,1000,200,1000,-1000,1000,0,0,-1000,0,0,-1000,0,1000,1000,100,0,-1000,0,0,0,300,0,-800,0,1000,-600
-1000,0,1000,1000,-1000,0,0,1000,-1000,-1000,0,1000,-1000,-200,-1000,-1000,1000,0,0,1000,1000,0,1000,0,1000,1000,1000,0,1000,-400,-900,1000,-1000,0,0,600,-300,-1000
-1000,0,-1000,300,-1000,0,0,-1000,-700,1000,0,-1000,-1000,0,0,200,1000,1000,0,1000,1000,0,-1000,0,1000,-1000,-1000,1000,1000,0,0,-1000,-1000,0,1000,-600,-1000,400
1000,0,0,0,0,900,0,1000,0,-1000,1000,1000,-800,0,0,1000,1000,-1000,0,0,-1000,0,1000,0,1000,-1000,-1000,1000,1000,1000,0,0,100,0,-1000,0,1000,-1000
-1000,0,0,-1000,0,-900,400,-1000,0,-100,1000,-700,0,0,0,-1000,-400,1000,0,-1000,1000,0,1000,1000,1000,-1000,-1000,1000,1000,-1000,0,0,-1000,0,0,0,1000,-1000
1000,0,1000,-400,0,0,1000,1000,1000,1000,-1000,-300,1000,0,0,-300,-1000,-1000,0,-1000,-1000,1000,1000,-1000,-1000,1000,-1000,-1000,1000,200,0,0,0,0,0,900,0,1000
-1000,300,-1000,0,0,0,0,-1000,-1000,0,-1000,0,0,0,0,0,-1000,0,0,-1000,0,0,0,1000,0,-1000,-1000,0,-900,-200,0,0,-300,0,0,1000,-1000,0
1000,-200,0,0,0,1000,-1000,0,1000,-1000,0,0,-1000,0,0,0,-200,1000,1000,0,1000,-1000,1000,-1000,-1000,1000,1000,-1000,0,0,0,0,1000,200,0,-1000,1000,0
-1000,-100,0,0,0,-1000,-400,500,0,0,0,0,0,0,0,0,-1000,-1000,700,0,-300,0,-800,0,-1000,-900,-1000,-1000,0,0,0,0,100,-200,0,0,-1000,-1000
300,0,0,0,1000,0,0,-1000,-700,0,1000,300,100,0,0,100,0,0,0,0,-600,0,0,0,1000,-700,-1000,0,0,0,0,0,-1000,0,0,-900,-600,1000
1000,0,0,0,1000,1000,0,1000,1000,0,-1000,-300,1000,0,1000,800,1000,1000,-1000,1000,-1000,0,-1000,1000,600,1000,1000,0,-1000,0,1000,0,-100,1000,0,0,1000,900
1000,500,1000,1000,-1000,-1000,1000,1000,1000,1000,0,0,1000,0,-1000,-900,1000,-1000,-700,1000,-100,1000,1000,-1000,-1000,-1000,-1000,0,-1000,1000,1000,0,1000,1000,0,1000,-600,1000
0,300,-1000,-1000,0,0,-1000,-1000,-1000,0,0,0,0,0,0,0,-1000,0,1000,0,0,-1000,-1000,0,-1000,0,0,400,0,-1000,-1000,0,-1000,-1000,0,0,0,-1000
1000,-800,0,0,-1000,1000,0,0,-1000,1000,0,0,1000,0,0,800,-1000,1000,-1000,-1000,0,0,-1000,0,-1000,1000,-1000,-400,-1000,0,-1000,1000,0,-1000,1000,1000,1000,1000
200,0,1000,1000,0,-1000,0,1000,-300,1000,0,900,200,0,0,100,-400,-1000,0,0,0,0,0,1000,-600,0,0,0,-1000,0,0,0,0,0,0,-1000,-1000,1000
-1000,0,500,-400,0,1000,0,-1000,100,-600,0,-900,-1000,0,0,-900,0,1000,0,-1000,0,0,1000,1000,1000,1000,1000,600,-100,0,1000,-1000,0,0,-1000,-1000,1000,-1000
1000,1000,-1000,-600,100,1000,1000,1000,1000,1000,0,0,1000,0,1000,1000,0,-1000,0,0,1000,0,-100,-1000,-1000,-1000,-1000,1000,0,100,-100,0,0,0,1000,1000,1000,-1000
